# started on Thu Aug 22 22:45:35 2024

2239.90	msec	task-clock:u	2239898287	100.00	1.000	CPUs utilized
0		context-switches:u	2239898287	100.00	0.000	/sec
0		cpu-migrations:u	2239898287	100.00	0.000	/sec
27		page-faults:u	2239898287	100.00	12.054	/sec
5368173753		cycles:u	1119899998	49.00	2.397	GHz
5367899854		instructions:u	1119894239	49.00	1.00	insn per cycle
2415515704		branches:u	1119894585	49.00	1.078	G/sec
3888		branch-misses:u	1119888658	49.00	0.00	of all branches
74796		L1-dcache-loads:u	1119884382	49.00	33.393	K/sec
3516		L1-dcache-load-misses:u	1119897175	49.00	4.70	of all L1-dcache accesses
6438		LLC-loads:u	1119898439	49.00	2.874	K/sec
6		LLC-load-misses:u	960002381	42.00	0.09	of all LL-cache accesses
4295790623		L1-icache-loads:u	960002642	42.00	1.918	G/sec
6		L1-icache-load-misses:u	960006187	42.00	0.00	of all L1-icache accesses
0		dTLB-loads:u	960012257	42.00	0.000	/sec
0		dTLB-load-misses:u	960013182	42.00		
4295441138		iTLB-loads:u	959998284	42.00	1.918	G/sec
2		iTLB-load-misses:u	959997311	42.00	0.00	of all iTLB cache accesses
<not supported>		L1-dcache-prefetches:u	0	100.00		
<not supported>		L1-dcache-prefetch-misses:u	0	100.00		
