# started on Wed Jan 15 01:18:40 2025

924.70	msec	task-clock:u	924703217	100.00	1.000	CPUs utilized
0		context-switches:u	924703217	100.00	0.000	/sec
0		cpu-migrations:u	924703217	100.00	0.000	/sec
33		page-faults:u	924703217	100.00	35.687	/sec
2215709249		cycles:u	451551739	48.00	2.396	GHz
6491917614		instructions:u	455544830	49.00	2.93	insn per cycle
2159312593		branches:u	459545368	49.00	2.335	G/sec
3423		branch-misses:u	463555016	50.00	0.00	of all branches
71358		L1-dcache-loads:u	467555126	50.00	77.169	K/sec
3282		L1-dcache-load-misses:u	471556664	50.00	4.60	of all L1-dcache accesses
6093		LLC-loads:u	475576387	51.00	6.589	K/sec
483		LLC-load-misses:u	405158294	43.00	7.93	of all LL-cache accesses
2174331876		L1-icache-loads:u	401157961	43.00	2.351	G/sec
1834		L1-icache-load-misses:u	397157497	42.00	0.00	of all L1-icache accesses
6548		dTLB-loads:u	393148296	42.00	7.081	K/sec
99		dTLB-load-misses:u	389146165	42.00	1.51	of all dTLB cache accesses
2160199135		iTLB-loads:u	385145923	41.00	2.336	G/sec
2		iTLB-load-misses:u	383971775	41.00	0.00	of all iTLB cache accesses
<not supported>		L1-dcache-prefetches:u	0	100.00		
<not supported>		L1-dcache-prefetch-misses:u	0	100.00		
