# started on Tue Jan 14 22:40:29 2025

1839.77	msec	task-clock:u	1839769199	100.00	1.000	CPUs utilized
0		context-switches:u	1839769199	100.00	0.000	/sec
0		cpu-migrations:u	1839769199	100.00	0.000	/sec
33		page-faults:u	1839769199	100.00	17.937	/sec
4408593797		cycles:u	915774517	49.00	2.396	GHz
6523695912		instructions:u	915784314	49.00	1.48	insn per cycle
2159139095		branches:u	915792649	49.00	1.174	G/sec
7492652		branch-misses:u	915779795	49.00	0.35	of all branches
78372		L1-dcache-loads:u	915788607	49.00	42.599	K/sec
3585		L1-dcache-load-misses:u	917530256	49.00	4.57	of all L1-dcache accesses
6252		LLC-loads:u	921551573	50.00	3.398	K/sec
27		LLC-load-misses:u	792006108	43.00	0.43	of all LL-cache accesses
4361978699		L1-icache-loads:u	791984311	43.00	2.371	G/sec
2		L1-icache-load-misses:u	791987957	43.00	0.00	of all L1-icache accesses
0		dTLB-loads:u	791988075	43.00	0.000	/sec
2		dTLB-load-misses:u	791985128	43.00		
4353160177		iTLB-loads:u	790217236	42.00	2.366	G/sec
88		iTLB-load-misses:u	786219185	42.00	0.00	of all iTLB cache accesses
<not supported>		L1-dcache-prefetches:u	0	100.00		
<not supported>		L1-dcache-prefetch-misses:u	0	100.00		
