# started on Wed Jan 15 00:11:25 2025

2002.66	msec	task-clock:u	2002656176	100.00	1.000	CPUs utilized
0		context-switches:u	2002656176	100.00	0.000	/sec
0		cpu-migrations:u	2002656176	100.00	0.000	/sec
33		page-faults:u	2002656176	100.00	16.478	/sec
4799029365		cycles:u	994914054	49.00	2.396	GHz
7829249183		instructions:u	994905030	49.00	1.63	insn per cycle
3156807645		branches:u	994834662	49.00	1.576	G/sec
4324		branch-misses:u	994775016	49.00	0.00	of all branches
72064		L1-dcache-loads:u	998037868	49.00	35.984	K/sec
3377		L1-dcache-load-misses:u	1002098662	50.00	4.69	of all L1-dcache accesses
6281		LLC-loads:u	1006158252	50.00	3.136	K/sec
6		LLC-load-misses:u	863750940	43.00	0.10	of all LL-cache accesses
4546802203		L1-icache-loads:u	863821090	43.00	2.270	G/sec
23		L1-icache-load-misses:u	863880848	43.00	0.00	of all L1-icache accesses
0		dTLB-loads:u	863952140	43.00	0.000	/sec
107		dTLB-load-misses:u	860618737	42.00		
4420974409		iTLB-loads:u	856565995	42.00	2.208	G/sec
77		iTLB-load-misses:u	852537816	42.00	0.00	of all iTLB cache accesses
<not supported>		L1-dcache-prefetches:u	0	100.00		
<not supported>		L1-dcache-prefetch-misses:u	0	100.00		
