# started on Tue Jan 14 17:05:38 2025

1809.62	msec	task-clock:u	1809619195	100.00	1.000	CPUs utilized
0		context-switches:u	1809619195	100.00	0.000	/sec
0		cpu-migrations:u	1809619195	100.00	0.000	/sec
33		page-faults:u	1809619195	100.00	18.236	/sec
4336934909		cycles:u	897792753	49.00	2.397	GHz
6569047555		instructions:u	901784799	49.00	1.51	insn per cycle
2243125043		branches:u	905922925	50.00	1.240	G/sec
3812		branch-misses:u	909924458	50.00	0.00	of all branches
75990		L1-dcache-loads:u	913857719	50.00	41.992	K/sec
3764		L1-dcache-load-misses:u	913826549	50.00	4.95	of all L1-dcache accesses
8010		LLC-loads:u	913800941	50.00	4.426	K/sec
795		LLC-load-misses:u	779837810	43.00	9.93	of all LL-cache accesses
4316124146		L1-icache-loads:u	775839304	42.00	2.385	G/sec
2082		L1-icache-load-misses:u	771695607	42.00	0.00	of all L1-icache accesses
2		dTLB-loads:u	767760996	42.00	1.105	/sec
9		dTLB-load-misses:u	767791720	42.00	450.00	of all dTLB cache accesses
4305815888		iTLB-loads:u	767828753	42.00	2.379	G/sec
9		iTLB-load-misses:u	767843589	42.00	0.00	of all iTLB cache accesses
<not supported>		L1-dcache-prefetches:u	0	100.00		
<not supported>		L1-dcache-prefetch-misses:u	0	100.00		
