# started on Wed Jan 15 04:13:56 2025

971.08	msec	task-clock:u	971081219	100.00	0.991	CPUs utilized
0		context-switches:u	971081219	100.00	0.000	/sec
0		cpu-migrations:u	971081219	100.00	0.000	/sec
33		page-faults:u	971081219	100.00	33.983	/sec
2325643141		cycles:u	479356684	49.00	2.395	GHz
6631960708		instructions:u	483386780	49.00	2.85	insn per cycle
2276136822		branches:u	487274540	50.00	2.344	G/sec
3705		branch-misses:u	491307948	50.00	0.00	of all branches
76127		L1-dcache-loads:u	495223947	50.00	78.394	K/sec
3701		L1-dcache-load-misses:u	495298742	51.00	4.86	of all L1-dcache accesses
7985		LLC-loads:u	495304058	51.00	8.223	K/sec
1043		LLC-load-misses:u	419754292	43.00	13.06	of all LL-cache accesses
1658344136		L1-icache-loads:u	415807087	42.00	1.708	G/sec
2113		L1-icache-load-misses:u	411772402	42.00	0.00	of all L1-icache accesses
0		dTLB-loads:u	407868643	42.00	0.000	/sec
2		dTLB-load-misses:u	407929475	42.00		
2167423897		iTLB-loads:u	407778886	41.00	2.232	G/sec
2		iTLB-load-misses:u	407780514	41.00	0.00	of all iTLB cache accesses
<not supported>		L1-dcache-prefetches:u	0	100.00		
<not supported>		L1-dcache-prefetch-misses:u	0	100.00		
