br1	br2	counter	inner	outer	nop	nop2	task_clock	context_switches	cpu_migrations	page_faults	cycles	instructions	branches	branch_misses	L1_dcache_loads	L1_dcache_load_misses	LLC_loads	LLC_load_misses	L1_icache_loads	L1_icache_load_misses	dTLB_loads	dTLB_load_misses	iTLB_loads	iTLB_load_misses	L1_dcache_prefetches	L1_dcache_prefetch_misses
1920	1944	2147483648	1	32768	3	4	5982.41	0	0	46	10737916904	21475132067	NA	2861	50894	2686	NA	NA	6442346021	2758	NA	222	NA	0	NA	NA
1920	1948	2147483648	1	32768	3	5	7178.77	0	0	46	12884773219	23621449318	NA	2388	46947	2788	NA	NA	6442309943	2725	NA	226	NA	159	NA	NA
1920	1952	2147483648	1	32768	3	6	8375.02	0	0	46	15032122224	25768554550	NA	2641	46468	2371	NA	NA	8589791946	2782	NA	223	NA	163	NA	NA
1920	1956	2147483648	1	32768	3	7	9571.41	0	0	46	17179512486	27915819925	NA	2751	51149	2638	NA	NA	8589878094	1945	NA	4	NA	168	NA	NA
1920	1960	2147483648	1	32768	3	8	10802.64	0	0	46	19327847115	30066320904	NA	2726	50917	2762	NA	NA	8590298859	2778	NA	1	NA	1	NA	NA
1924	1932	2147483648	1	32768	4	0	2393.84	0	0	46	4294877480	12882933306	NA	2320	47070	2822	NA	NA	4294533171	2796	NA	208	NA	156	NA	NA
1924	1936	2147483648	1	32768	4	1	3589.99	0	0	46	6442259069	15030769437	NA	2769	51034	2394	NA	NA	6442782165	2720	NA	214	NA	154	NA	NA
1924	1940	2147483648	1	32768	4	2	3589.99	0	0	46	6442336602	17178088971	NA	2772	50992	2748	NA	NA	6443005988	1989	NA	205	NA	162	NA	NA
1924	1944	2147483648	1	32768	4	3	4786.39	0	0	47	8589876582	19326043087	NA	2808	51298	2845	NA	NA	6442138765	1965	NA	0	NA	172	NA	NA
1924	1948	2147483648	1	32768	4	4	5982.66	0	0	46	10737998399	21475146283	NA	2624	50500	2868	NA	NA	6442331716	2732	NA	217	NA	0	NA	NA
1924	1952	2147483648	1	32768	4	5	7178.56	0	0	48	12884578209	23620913055	NA	2329	46854	3037	NA	NA	8589914075	2838	NA	205	NA	165	NA	NA
1924	1956	2147483648	1	32768	4	6	8375.10	0	0	46	15032067826	25768404203	NA	2756	51523	2453	NA	NA	8590293309	2872	NA	218	NA	156	NA	NA
1924	1960	2147483648	1	32768	4	7	9576.01	0	0	46	17178760142	27914494107	NA	2698	51047	2887	NA	NA	8589701343	2145	NA	217	NA	173	NA	NA
1924	1964	2147483648	1	32768	4	8	10768.08	0	0	46	19327730667	30064298690	NA	2580	50555	2866	NA	NA	8589983438	2812	NA	228	NA	21	NA	NA
1928	1936	2147483648	1	32768	5	0	3589.93	0	0	46	6442312812	12883639386	NA	2735	50965	2623	NA	NA	6442832836	2119	NA	224	NA	168	NA	NA
1928	1940	2147483648	1	32768	5	1	3590.05	0	0	46	6442324672	15030917423	NA	2711	50902	2409	NA	NA	6442862887	2693	NA	224	NA	162	NA	NA
1928	1944	2147483648	1	32768	5	2	3591.30	0	0	46	6442464272	17178442344	NA	2803	51023	2382	NA	NA	6442786975	2695	NA	227	NA	163	NA	NA
1928	1948	2147483648	1	32768	5	3	4788.85	0	0	46	8589676274	19325867062	NA	2748	50969	2819	NA	NA	6442017412	2114	NA	4	NA	202	NA	NA
1928	1952	2147483648	1	32768	5	4	5984.26	0	0	48	10737777230	21474466472	NA	2684	50748	2836	NA	NA	8589863471	2833	NA	226	NA	0	NA	NA
1928	1956	2147483648	1	32768	5	5	7181.39	0	0	46	12885134972	23621004690	NA	2732	46966	2340	NA	NA	8589700989	2772	NA	220	NA	159	NA	NA
1928	1960	2147483648	1	32768	5	6	8377.29	0	0	46	15032020362	25768748036	NA	2767	51030	2500	NA	NA	8590281570	2769	NA	221	NA	151	NA	NA
1928	1964	2147483648	1	32768	5	7	9574.45	0	0	48	17179456277	27915733249	NA	2678	50672	2844	NA	NA	8590221355	2069	NA	226	NA	176	NA	NA
1928	1968	2147483648	1	32768	5	8	10767.20	0	0	46	19327809970	30063296850	NA	2630	50665	2797	NA	NA	10737334630	2767	NA	0	NA	0	NA	NA
1932	1940	2147483648	1	32768	6	0	2394.97	0	0	46	4294314951	12882557674	NA	2823	46876	2355	NA	NA	4296064932	2876	NA	235	NA	187	NA	NA
1932	1944	2147483648	1	32768	6	1	2992.90	0	0	47	5370449031	15035169578	NA	2897	51482	2725	NA	NA	4294293835	2843	NA	213	NA	0	NA	NA
1932	1948	2147483648	1	32768	6	2	3592.49	0	0	46	6442572537	17181830036	NA	2749	51000	2871	NA	NA	4294995247	1956	NA	202	NA	397	NA	NA
1932	1952	2147483648	1	32768	6	3	4786.16	0	0	47	8589726829	19325865026	NA	2713	50878	2904	NA	NA	6442172938	1994	NA	0	NA	160	NA	NA
1932	1956	2147483648	1	32768	6	4	5982.52	0	0	46	10738145319	21475024411	NA	2778	50862	2724	NA	NA	6442318928	2746	NA	202	NA	0	NA	NA
1932	1960	2147483648	1	32768	6	5	7178.78	0	0	46	12884756406	23620972703	NA	2310	46784	2901	NA	NA	6442353875	2789	NA	179	NA	162	NA	NA
1932	1964	2147483648	1	32768	6	6	8377.16	0	0	46	15031569833	25768918532	NA	2443	51586	2917	NA	NA	6442462147	2736	NA	229	NA	186	NA	NA
1932	1968	2147483648	1	32768	6	7	9571.18	0	0	46	17179621566	27915980121	NA	2706	50970	2911	NA	NA	8589895830	1928	NA	1	NA	154	NA	NA
1932	1972	2147483648	1	32768	6	8	10767.38	0	0	46	19326980474	30063442251	NA	2542	50395	2815	NA	NA	8589895279	2708	NA	0	NA	4	NA	NA
1936	1944	2147483648	1	32768	7	0	2393.63	0	0	46	4294881970	12882979565	NA	2311	46636	2834	NA	NA	4294466837	2836	NA	228	NA	159	NA	NA
1936	1948	2147483648	1	32768	7	1	2991.85	0	0	46	5369347262	15030570277	NA	2785	51200	2886	NA	NA	4294649789	2754	NA	0	NA	0	NA	NA
1936	1952	2147483648	1	32768	7	2	3590.03	0	0	47	6442343461	17178082124	NA	2723	51024	2420	NA	NA	6442830844	2793	NA	205	NA	166	NA	NA
1936	1956	2147483648	1	32768	7	3	4788.41	0	0	46	8589141583	19324742430	NA	2921	51445	2810	NA	NA	6441779971	2948	NA	2	NA	35	NA	NA
1936	1960	2147483648	1	32768	7	4	5982.33	0	0	46	10738027847	21473200507	NA	2705	51015	2785	NA	NA	6442234184	2795	NA	0	NA	0	NA	NA
1936	1964	2147483648	1	32768	7	5	7178.90	0	0	46	12885505583	23620745481	NA	2293	46452	2727	NA	NA	6442324927	2763	NA	232	NA	166	NA	NA
1936	1968	2147483648	1	32768	7	6	8378.84	0	0	46	15032446836	25768676493	NA	2798	51315	2485	NA	NA	8589723024	2800	NA	229	NA	190	NA	NA
1936	1972	2147483648	1	32768	7	7	9571.13	0	0	46	17179544257	27916006755	NA	2682	51150	2863	NA	NA	8589849375	1951	NA	2	NA	172	NA	NA
1936	1976	2147483648	1	32768	7	8	10771.76	0	0	47	19328716754	30064256464	NA	2785	50959	2776	NA	NA	8589587539	2968	NA	4	NA	22	NA	NA
1940	1948	2147483648	1	32768	8	0	2394.76	0	0	47	4294527143	12882528175	NA	2755	47230	2343	NA	NA	4294792921	2723	NA	223	NA	157	NA	NA
1940	1952	2147483648	1	32768	8	1	3591.20	0	0	46	6443176452	15029832802	NA	2767	51344	2917	NA	NA	6442760936	1930	NA	209	NA	170	NA	NA
1940	1956	2147483648	1	32768	8	2	3590.05	0	0	46	6442361692	17178131255	NA	2678	50379	2303	NA	NA	6442876298	2799	NA	206	NA	172	NA	NA
1940	1960	2147483648	1	32768	8	3	4787.36	0	0	46	8590797834	19327998470	NA	2744	51373	3087	NA	NA	6441872028	2715	NA	0	NA	1	NA	NA
1940	1964	2147483648	1	32768	8	4	5982.40	0	0	47	10737866237	21473274842	NA	2650	50723	2762	NA	NA	6442277067	2773	NA	1	NA	3	NA	NA
1940	1968	2147483648	1	32768	8	5	7178.77	0	0	46	12884717530	23621195548	NA	2350	46912	2820	NA	NA	8589696451	2799	NA	199	NA	160	NA	NA
1940	1972	2147483648	1	32768	8	6	8375.40	0	0	46	15032056020	25768536785	NA	2777	50702	2430	NA	NA	8590269959	2898	NA	214	NA	166	NA	NA
1940	1976	2147483648	1	32768	8	7	9571.25	0	0	46	17179636260	27916074161	NA	2744	51092	2848	NA	NA	8589846060	2064	NA	1	NA	164	NA	NA
1940	1980	2147483648	1	32768	8	8	10767.38	0	0	46	19328505660	30063484332	NA	2640	51166	2890	NA	NA	8589906952	2729	NA	0	NA	0	NA	NA
1908	1916	2146959360	10	3276	0	0	2992.02	0	0	46	5368406175	7084445935	NA	3615	50758	2786	NA	NA	4293481838	2720	NA	0	NA	0	NA	NA
1908	1920	2146959360	10	3276	0	1	3353.38	0	0	46	6010706809	7297831461	NA	3885	51442	2820	NA	NA	4508368001	2934	NA	0	NA	13	NA	NA
1908	1924	2146959360	10	3276	0	2	3351.67	0	0	46	6012031268	7512986520	NA	3806	51045	2873	NA	NA	4508642498	2894	NA	1	NA	39	NA	NA
1908	1928	2146959360	10	3276	0	3	3350.81	0	0	46	6011521244	7728063586	NA	3618	50369	2823	NA	NA	4508460453	2770	NA	0	NA	20	NA	NA
1908	1932	2146959360	10	3276	0	4	3351.33	0	0	46	6011810116	7942671415	NA	3772	50623	2893	NA	NA	4508379397	2852	NA	0	NA	24	NA	NA
1908	1936	2146959360	10	3276	0	5	3351.38	0	0	47	6012293009	8158339501	NA	3759	50472	2731	NA	NA	4723016219	2855	NA	214	NA	9	NA	NA
1908	1940	2146959360	10	3276	0	6	3350.06	0	0	46	6012100671	8372454427	NA	3689	50977	2919	NA	NA	4723006961	2851	NA	0	NA	1	NA	NA
1908	1944	2146959360	10	3276	0	7	3351.64	0	0	46	6013710705	8589526916	NA	3788	51322	2866	NA	NA	4722784731	2781	NA	3	NA	6	NA	NA
1908	1948	2146959360	10	3276	0	8	3350.91	0	0	47	6011865204	8801215739	NA	3577	51052	2782	NA	NA	4722784691	2796	NA	0	NA	0	NA	NA
1912	1920	2146959360	10	3276	1	0	3230.28	0	0	46	5796563675	7084166661	NA	3601	50610	2746	NA	NA	2576585234	2013	NA	208	NA	160	NA	NA
1912	1924	2146959360	10	3276	1	1	3231.22	0	0	46	5797021141	7299179320	NA	3758	51154	2871	NA	NA	2576777775	1941	NA	214	NA	163	NA	NA
1912	1928	2146959360	10	3276	1	2	3230.41	0	0	46	5796728100	7513688504	NA	3614	50750	2362	NA	NA	2576574163	2696	NA	224	NA	150	NA	NA
1912	1932	2146959360	10	3276	1	3	3230.42	0	0	46	5796704693	7728351922	NA	3690	51488	2685	NA	NA	2576586683	1965	NA	220	NA	166	NA	NA
1912	1936	2146959360	10	3276	1	4	3230.38	0	0	46	5796924574	7943108838	NA	3633	50878	2891	NA	NA	2791279315	1998	NA	191	NA	163	NA	NA
1912	1940	2146959360	10	3276	1	5	3230.41	0	0	47	5796535440	8157401723	NA	3669	51337	2516	NA	NA	2791287606	2887	NA	217	NA	172	NA	NA
1912	1944	2146959360	10	3276	1	6	3230.59	0	0	46	5797117588	8372316967	NA	3542	50826	2913	NA	NA	2791227764	1951	NA	227	NA	158	NA	NA
1912	1948	2146959360	10	3276	1	7	3231.15	0	0	46	5796498881	8587010113	NA	3772	51521	2815	NA	NA	2791256843	2043	NA	226	NA	218	NA	NA
1912	1952	2146959360	10	3276	1	8	3349.83	0	0	47	6011448612	8801738404	NA	3542	51006	3058	NA	NA	3005587945	2759	NA	0	NA	1	NA	NA
1916	1924	2146959360	10	3276	2	0	3111.05	0	0	46	5582016899	7085083926	NA	3255	51021	2792	NA	NA	2361522462	2723	NA	219	NA	156	NA	NA
1916	1928	2146959360	10	3276	2	1	3110.86	0	0	46	5582288583	7298967340	NA	3293	46751	2829	NA	NA	2361504443	2816	NA	218	NA	159	NA	NA
1916	1932	2146959360	10	3276	2	2	3111.55	0	0	46	5583048240	7514338090	NA	3404	46616	2819	NA	NA	2361477713	2747	NA	211	NA	171	NA	NA
1916	1936	2146959360	10	3276	2	3	3111.21	0	0	47	5583577514	7728771461	NA	3325	46944	3079	NA	NA	2576204625	2720	NA	215	NA	166	NA	NA
1916	1940	2146959360	10	3276	2	4	3110.63	0	0	47	5581886182	7942847173	NA	3199	46578	2731	NA	NA	2576218439	2796	NA	207	NA	151	NA	NA
1916	1944	2146959360	10	3276	2	5	3110.80	0	0	46	5581914473	8157536427	NA	3192	47090	2804	NA	NA	2576264346	2837	NA	229	NA	163	NA	NA
1916	1948	2146959360	10	3276	2	6	3112.42	0	0	47	5581987948	8372996454	NA	3213	50986	2795	NA	NA	2576155327	2782	NA	224	NA	174	NA	NA
1916	1952	2146959360	10	3276	2	7	3230.57	0	0	46	5797304749	8586930594	NA	3456	51217	3029	NA	NA	2791281359	1974	NA	223	NA	161	NA	NA
1916	1956	2146959360	10	3276	2	8	3230.28	0	0	46	5796671133	8801648430	NA	3601	50964	2421	NA	NA	2791261000	2748	NA	215	NA	156	NA	NA
1920	1928	2146959360	10	3276	3	0	2991.07	0	0	46	5367942170	7084197290	NA	3510	51291	2781	NA	NA	4293667961	2686	NA	0	NA	0	NA	NA
